videoId,title,published_at,duration_sec,views,likes,comments
wjv7YlkszmY,وجدنا فطور رمضاني مع الواليد وكيف العادة بقينا بلا فطور 😅,2026-03-14 17:09:49+00:00,1353.0,259609,10010,261
F7C1djlovsg,سولتونا جاوبناكوم.. شحال تكاليف البرطمة ؟,2026-03-07 23:54:07+00:00,1349.0,171383,8092,302
6hGq2Vr_qfE,توديع الواليدة قبل العمرة… انا والوليد غندوزو رمضان بلا بيها!🥲,2026-02-27 21:54:23+00:00,1381.0,171539,7590,213
wOXAjZ6J4pU,علاش رجعنا قبل ما نوصلو لـ جبل توبقال؟ التحدي سالا قبل ما يبدا 😪,2026-02-23 17:54:45+00:00,1929.0,164287,7091,207
qI0ibiDr3y8,اغرب تقديا ديال شهر رمضان!.. مكنتش متوقع هادشي☹️😅,2026-02-19 18:33:13+00:00,1849.0,202846,8825,204
NWXQilkT_TM,الواليد متوقعش هاد اللذة! مشجعة سنغالية طيبات لينا وجبة سنغالية 100% 🇸🇳,2026-01-02 19:15:39+00:00,1464.0,235514,8530,432
wbUaOQXtOgY,لمغاربة وقفوا مع ديباني… شراو ليه دار بعد قرار الهدم ❤️,2025-12-13 16:54:20+00:00,2556.0,381431,18801,739
b_UiR0OqHrg,الاحتفال بالدار الجديدة تحوّل لأغرب عراضة بسبب الواليد والدراري! 😂🏠,2025-11-16 12:27:13+00:00,2425.0,478394,19935,653
nE6lR1M6BV0,قرار الهدم صدم ديباني 😢… لكن المفاجأة المغاربة جمعو ليه 24 مليون الحمد لله ! 🇲🇦❤️,2025-11-02 16:09:44+00:00,1684.0,369538,20953,1217
jX73qLO4K1E,الواليد نتاقم مني 😢 دار ليا برانك عمرني نساه 🤷🏻‍♂️,2025-10-24 20:27:18+00:00,2198.0,545388,23103,691
V8-Ao8QNCvA,لعبة بدرهم فالـبحر 🏖️ حولناها لفرحة الدخول المدرسي !!؟,2025-09-06 17:49:05+00:00,1862.0,268107,10177,301
X-W4-CpcUsg,لوليد قتارح عليا نشري محال تجاري..واش نقدرندير مشروع؟!,2025-08-11 18:59:48+00:00,1429.0,285635,12880,601
j_gtIbdxlDc,الحلقة الاخيرة...ردة فعل ابي على الشقة لي خديت!!,2025-08-03 22:18:58+00:00,2525.0,461525,20760,748
lgUzrBOIBZI,معاد صدماتو التيجة الاخيرة ديال الشقة..موعد المفاجأة قرب!!!,2025-07-30 19:07:34+00:00,1597.0,366879,16376,416
Aj_zV2HHAH8,معلم دار لينا كارتة فالدار..وديباني تعصب بلا قياس!!,2025-07-25 19:14:21+00:00,1564.0,318181,13089,448
167yi92MOM4,بدات كتقرب لحضة الحقيقة…ديباني قرر يعلمني !!!,2025-07-20 20:45:03+00:00,1590.0,332043,13793,361
rJI4r3oivoE,الإستعداد للمفاجأة..لمعلم ديباني زعمني على المعقول!! طلقتها فيد الله..,2025-07-16 20:00:26+00:00,1917.0,350379,15885,530
muSoqvTQ0c4,حققت الحلم المغربي..ربي فرجها عليا🥺🤲🏻,2025-07-12 20:01:52+00:00,1686.0,567090,23346,679
pANDfELmuh4,ها كفاش داز نهار العيد بلا دبيحة.. وها شنو درنا!!,2025-06-07 23:44:44+00:00,1371.0,436608,18591,471
4-vQgcsjViM,PARTE 2  الواليد معجبوش الكادو ديال معاد..وها علاش!!,2025-05-16 21:13:58+00:00,1201.0,403301,15796,761
UnMPfqvTxCY,معاد بغا يصلح العلاقة مع الوليد..ها اشنو جاب ليه فالكادو؟!! 🤫,2025-05-10 23:37:51+00:00,1235.0,469073,17568,405
txZIugbUWlM,أخيرااا اشتريت سيارة احلامي 😍 الواليد معجبوش الحال كي ديما !!,2025-04-20 18:59:50+00:00,1104.0,360992,14732,467
U5SRxIjKT_M,هجم علينا البق بسباب المشروع ديال الوالد .. خسارة فادحة 😢,2025-04-11 19:31:23+00:00,1563.0,399690,16397,507
tvZX9hrM8n4,الضالة غيحيد المشروع ديالو ! …وهذا هو السبب😞,2025-03-30 22:03:47+00:00,1854.0,481083,18117,487
Bcg8BJWbSuY,درنا فطور فرمضان..الضالة قاد لينا طبق الارنب 🐇🤣,2025-03-14 19:31:56+00:00,2177.0,671000,20687,646
KX_x5DR6p0g,رجعنا درنا Omegle الواليد هرب ليه بسباب التيتيز 😍,2025-02-09 13:58:09+00:00,1060.0,175759,10580,367
6Au5gJR-QrQ,تحدي وصف الاشخاص.. الواليد مكيعرفنيش ! 😳,2025-01-31 17:19:04+00:00,1166.0,203227,12913,374
Bk9gLvt7034,PART 2 : الواليد فرگع الرمانة مع عمي.. صدقنا اغنياء 🤑,2025-01-20 13:54:54+00:00,1721.0,374661,14185,327
fGIC81OcgWY,PART 1 : مشيت نشوف الورت ديالنا فالبلاد..لوليد تصدم !!,2025-01-12 12:14:33+00:00,1368.0,389294,18962,388
tNfmMuJZdos,Épisode 1 : auto-stop / الرحلة,2024-10-26 20:57:23+00:00,1386.0,627943,31478,566
uL9Iq6ss55M,الرحلة  TEASER,2024-10-24 15:52:02+00:00,54.0,92864,5993,221
QPfxKeh213E,لقاء القرن .. وحمام الرمال الساخن🔥,2024-09-07 14:56:42+00:00,1453.0,391809,16949,304
MfjxYvWtT14,أغرب عيد ميلاد في التاريخ...شوفوالهدية لي عطيت للوليد!,2024-08-22 13:05:38+00:00,1109.0,238265,12896,382
